,sleeping,average,loyal,champions,churn
count39,3360,1006,615,195,24398
period40,3688,871,344,495,24176
period41,3694,894,459,344,24183
period42,3410,857,543,326,24438
period43,3522,879,521,346,24306
period44,3488,1111,436,115,24424
period45,3805,912,592,347,23918
period46,3670,969,506,368,24061
period47,3717,920,485,351,24101
period48,3877,1050,408,465,23774
period49,4009,1015,395,502,23653
period50,4176,1334,641,324,23099
period51,4428,1370,524,604,22648
period52,5695,1932,771,97,21079
period53,4149,1456,514,391,23064
period54,3717,916,366,506,24069
period55,3752,1124,612,135,23951
period56,3505,1062,677,228,24102
period57,3503,1111,682,203,24075
period58,3622,1121,651,139,24041
period59,3790,1280,624,145,23735
period60,3927,1354,658,172,23463
period61,3851,1309,473,144,23797
period62,4409,1765,704,250,22446
period63,3738,1346,557,140,23793
