,sleeping_loyal,sleeping_champions,champions_sleeping,loyal_sleeping,week,count_promo
0,2.1,2.3,17.7,11.5,1,1351
1,2.6,2.4,20.9,16.4,2,1765
2,2.1,2.2,25.0,14.6,3,1921
3,2.1,1.9,20.4,13.3,4,1793
4,1.6,2.5,24.0,13.6,5,1871
5,1.9,2.4,16.5,11.7,6,1929
6,1.6,2.1,22.4,15.7,7,2246
7,2.5,1.6,17.8,11.9,8,2140
8,2.0,1.5,23.5,17.0,9,2354
9,1.9,1.7,18.7,14.9,10,2242
10,3.4,1.3,18.4,11.4,11,2306
11,1.5,1.4,20.6,15.8,12,2261
12,2.2,1.5,14.7,19.9,13,2189
13,2.0,1.5,12.7,21.2,14,2182
14,1.9,1.4,21.7,14.5,15,2213
15,2.5,1.1,20.0,12.2,16,2270
16,1.3,0.8,12.7,16.9,17,2528
17,2.0,1.8,18.5,13.4,18,2303
18,1.4,0.3,18.5,12.3,19,2264
19,1.6,1.7,22.7,12.0,20,2313
20,1.7,1.5,22.8,13.1,21,2378
21,1.8,0.6,14.6,20.3,22,2296
22,1.9,1.2,24.1,13.2,23,2416
23,2.3,1.8,14.6,22.1,24,2493
24,2.0,2.3,13.9,19.6,25,2348
25,1.9,1.4,18.0,14.1,26,2502
26,1.2,0.5,17.3,15.6,27,2420
27,2.1,1.4,18.7,13.9,28,2539
28,2.1,0.5,12.4,25.7,29,2342
29,1.5,1.6,8.3,14.7,30,2393
30,1.4,1.5,20.6,12.1,31,2279
31,1.4,1.3,20.6,14.7,32,2399
32,2.1,1.2,18.6,14.6,33,2341
33,2.1,1.3,12.6,22.7,34,2332
34,1.9,1.9,22.0,14.7,35,2212
35,1.9,1.8,23.5,13.5,36,2375
36,1.6,0.5,17.1,13.6,37,2212
37,2.3,1.3,24.1,10.6,38,2485
38,1.3,1.4,21.6,14.4,39,2510
39,2.4,1.7,21.1,11.5,40,2427
40,1.4,1.4,22.9,12.2,41,2359
41,1.6,1.3,18.7,8.4,42,2370
42,1.4,0.4,21.4,9.8,43,2363
43,1.6,1.9,17.4,14.5,44,2538
44,1.6,1.2,18.2,11.8,45,2237
45,6.9,1.0,19.3,8.2,46,2371
46,1.1,2.1,12.4,19.2,47,2357
47,1.8,0.6,20.5,13.7,48,2597
48,1.9,1.5,19.0,12.2,49,2416
49,1.7,2.1,17.0,14.2,50,2712
50,3.6,0.1,23.4,23.6,51,2674
